Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-24,42.312,42.312,41.512,41.616,2721800,0.0,0.0
2023-01-25,41.653,42.227,41.625,42.218,3351700,0.0,0.0
2023-01-26,42.124,42.236,41.691,41.804,3106600,0.0,0.0
2023-01-27,41.936,42.594,41.804,42.359,3672000,0.0,0.0
2023-01-30,42.02,42.208,41.437,41.569,4544800,0.0,0.0
2023-01-31,41.418,41.964,41.127,41.964,5007000,0.0,0.0
2023-02-01,41.757,42.678,41.447,42.481,5387300,0.0,0.0
2023-02-02,42.105,42.584,41.898,42.283,4816500,0.0,0.0
2023-02-03,42.236,42.33,41.512,41.766,5025100,0.0,0.0
2023-02-06,41.87,41.945,41.456,41.879,4413800,0.0,0.0
2023-02-07,41.841,41.983,41.503,41.813,3487100,0.0,0.0
2023-02-08,41.71,41.898,41.371,41.625,4791300,0.0,0.0
2023-02-09,41.7,41.823,41.306,41.456,3660300,0.0,0.0
2023-02-10,41.588,42.49,41.541,42.124,3726200,0.0,0.0
2023-02-13,42.161,42.265,41.841,42.208,4477600,0.0,0.0
2023-02-14,42.341,42.341,41.225,41.262,4941500,0.26,0.0
2023-02-15,41.385,41.877,41.3,41.868,3987200,0.0,0.0
2023-02-16,41.537,41.688,41.338,41.471,4493300,0.0,0.0
2023-02-17,41.575,41.745,41.414,41.612,4230100,0.0,0.0
2023-02-21,41.546,42.331,41.206,42.199,5973400,0.0,0.0
2023-02-22,42.047,42.719,41.641,42.199,4718600,0.0,0.0
2023-02-23,42.085,42.142,41.357,41.527,5079600,0.0,0.0
2023-02-24,41.423,41.575,41.092,41.376,5039500,0.0,0.0
2023-02-27,41.471,41.754,40.95,41.054,5586100,0.0,0.0
2023-02-28,40.809,41.102,40.6,40.799,6000400,0.0,0.0
2023-03-01,40.629,41.073,40.496,41.026,7008800,0.0,0.0
2023-03-02,42.568,44.09,41.811,43.249,12908600,0.0,0.0
2023-03-03,44.166,44.223,43.078,43.485,8240500,0.0,0.0
2023-03-06,43.22,44.005,43.031,43.958,6271000,0.0,0.0
2023-03-07,43.967,44.582,43.759,44.364,8262100,0.0,0.0
2023-03-08,44.213,44.979,44.166,44.875,7354500,0.0,0.0
2023-03-09,45.064,45.14,44.487,44.686,6352200,0.0,0.0
2023-03-10,44.402,44.771,44.185,44.544,7329300,0.0,0.0
2023-03-13,44.487,45.462,44.052,44.308,8891300,0.0,0.0
2023-03-14,44.213,44.677,43.986,44.62,6577100,0.0,0.0
2023-03-15,44.459,45.736,44.279,45.67,7340600,0.0,0.0
2023-03-16,45.679,45.774,44.402,44.573,7188700,0.0,0.0
2023-03-17,44.677,44.828,43.958,44.242,15100200,0.0,0.0
2023-03-20,44.828,45.376,44.733,44.781,5776300,0.0,0.0
2023-03-21,44.922,45.263,44.875,45.168,4560400,0.0,0.0
2023-03-22,45.339,46.038,45.272,45.433,7411900,0.0,0.0
2023-03-23,45.395,46.379,45.395,45.887,8511200,0.0,0.0
2023-03-24,46.067,46.757,45.982,46.388,6830200,0.0,0.0
2023-03-27,46.426,46.757,45.982,45.991,6508200,0.0,0.0
2023-03-28,45.897,46.502,45.849,46.265,4732500,0.0,0.0
