Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-25,14.55,14.743,14.41,14.682,7091200,0.0,0.0
2023-05-26,14.673,14.743,14.586,14.726,3949100,0.0,0.0
2023-05-30,14.735,14.91,14.533,14.559,3810600,0.0,0.0
2023-05-31,14.515,14.586,14.234,14.568,13789600,0.0,0.0
2023-06-01,14.612,14.717,14.533,14.7,4265400,0.0,0.0
2023-06-02,14.91,15.472,14.831,15.446,8478800,0.0,0.0
2023-06-05,15.402,15.437,15.235,15.279,5870400,0.0,0.0
2023-06-06,15.252,15.577,15.217,15.454,4771400,0.0,0.0
2023-06-07,15.489,15.656,15.323,15.551,7920700,0.0,0.0
2023-06-08,15.454,15.7,15.296,15.647,4384400,0.0,0.0
2023-06-09,15.612,15.665,15.489,15.56,3530600,0.0,0.0
2023-06-12,15.56,15.656,15.349,15.463,4196000,0.0,0.0
2023-06-13,15.472,15.498,15.226,15.305,7659300,0.0,0.0
2023-06-14,15.331,15.481,15.121,15.323,6982000,0.0,0.0
2023-06-15,15.331,15.331,14.761,15.016,9449800,0.0,0.0
2023-06-16,15.103,15.165,14.893,14.963,9092900,0.0,0.0
2023-06-20,14.919,14.972,14.542,14.577,7707100,0.0,0.0
2023-06-21,14.507,14.673,14.401,14.603,8235500,0.0,0.0
2023-06-22,14.621,14.638,14.366,14.48,4298700,0.0,0.0
2023-06-23,14.287,14.392,14.173,14.252,8345800,0.0,0.0
2023-06-26,14.199,14.507,14.182,14.419,5340200,0.0,0.0
2023-06-27,14.243,14.603,14.033,14.594,9132600,0.0,0.0
2023-06-28,14.594,14.594,14.401,14.507,10586800,0.0,0.0
2023-06-29,14.445,14.808,14.409,14.781,6094700,0.15,0.0
2023-06-30,14.878,14.985,14.728,14.905,7071700,0.0,0.0
2023-07-03,14.905,15.339,14.879,15.339,3002700,0.0,0.0
2023-07-05,15.259,15.366,15.029,15.215,6030100,0.0,0.0
2023-07-06,15.038,15.224,14.878,15.206,4884700,0.0,0.0
2023-07-07,15.206,15.587,15.18,15.454,5467700,0.0,0.0
2023-07-10,15.41,15.808,15.348,15.755,5254800,0.0,0.0
2023-07-11,15.844,15.941,15.729,15.782,4659900,0.0,0.0
2023-07-12,15.932,16.003,15.587,15.614,6775200,0.0,0.0
2023-07-13,15.667,15.835,15.498,15.755,5661200,0.0,0.0
2023-07-14,15.649,15.658,15.144,15.41,7458400,0.0,0.0
2023-07-17,15.392,15.578,15.321,15.445,4419300,0.0,0.0
2023-07-18,15.445,15.702,15.41,15.658,3783100,0.0,0.0
2023-07-19,15.791,15.8,15.552,15.649,5538700,0.0,0.0
2023-07-20,15.8,15.826,15.374,15.472,4065900,0.0,0.0
2023-07-21,15.543,15.596,15.436,15.56,3263500,0.0,0.0
2023-07-24,15.49,15.596,15.366,15.436,3049600,0.0,0.0
2023-07-25,15.41,15.481,15.25,15.472,4477400,0.0,0.0
2023-07-26,15.401,15.64,15.383,15.428,3517500,0.0,0.0
2023-07-27,15.534,15.764,15.401,15.525,5728500,0.0,0.0
2023-07-28,15.755,16.278,15.684,16.101,7993300,0.0,0.0
2023-07-31,16.172,16.446,16.136,16.296,7639000,0.0,0.0
2023-08-01,16.296,16.357,15.941,16.287,6596700,0.0,0.0
2023-08-02,16.03,16.154,15.879,16.074,7823900,0.0,0.0
2023-08-03,14.87,15.109,13.922,14.887,19737300,0.0,0.0
2023-08-04,14.914,15.073,14.595,14.693,12112500,0.0,0.0
2023-08-07,14.666,14.887,14.524,14.87,6128800,0.0,0.0
2023-08-08,14.684,14.87,14.507,14.843,5725000,0.0,0.0
2023-08-09,14.861,15.029,14.825,14.914,5363300,0.0,0.0
2023-08-10,14.914,15.073,14.675,14.755,7862700,0.0,0.0
2023-08-11,14.639,14.657,14.25,14.427,6981400,0.0,0.0
2023-08-14,14.409,14.48,14.188,14.329,8469300,0.0,0.0
2023-08-15,14.197,14.312,14.055,14.188,7688900,0.0,0.0
2023-08-16,14.179,14.321,14.17,14.197,7806600,0.0,0.0
2023-08-17,14.179,14.285,14.002,14.002,6273400,0.0,0.0
2023-08-18,13.833,14.365,13.807,14.267,9629800,0.0,0.0
2023-08-21,14.329,14.338,14.055,14.126,7970000,0.0,0.0
2023-08-22,14.126,14.161,13.878,14.064,8665800,0.0,0.0
2023-08-23,14.108,14.232,14.046,14.09,13979700,0.0,0.0
2023-08-24,14.099,14.188,13.842,13.851,8265800,0.0,0.0
2023-08-25,13.825,13.86,13.55,13.674,11286100,0.0,0.0
2023-08-28,13.833,14.152,13.816,14.019,11554900,0.0,0.0
2023-08-29,14.073,14.347,14.002,14.294,11350200,0.0,0.0
2023-08-30,14.294,14.312,14.019,14.17,8591700,0.0,0.0
2023-08-31,14.143,14.143,13.949,13.984,9502900,0.0,0.0
2023-09-01,14.073,14.152,13.949,14.011,6255600,0.0,0.0
2023-09-05,13.966,14.197,13.904,14.081,8846800,0.0,0.0
2023-09-06,14.019,14.241,14.002,14.143,6661400,0.0,0.0
2023-09-07,14.126,14.126,13.86,13.913,6131700,0.0,0.0
2023-09-08,14.002,14.241,13.957,14.214,6212200,0.0,0.0
2023-09-11,14.267,14.436,14.267,14.294,5652300,0.0,0.0
2023-09-12,14.241,14.507,14.241,14.48,6267000,0.0,0.0
2023-09-13,14.524,14.604,14.152,14.179,6245000,0.0,0.0
2023-09-14,14.338,14.453,14.17,14.4,4881100,0.0,0.0
2023-09-15,14.4,14.825,14.365,14.701,13039500,0.0,0.0
2023-09-18,14.657,14.728,14.427,14.542,4060800,0.0,0.0
2023-09-19,14.586,14.613,14.427,14.453,3854700,0.0,0.0
2023-09-20,14.551,14.639,14.329,14.347,4622600,0.0,0.0
2023-09-21,14.232,14.232,14.073,14.09,4609100,0.0,0.0
2023-09-22,14.108,14.25,13.975,13.993,5857900,0.0,0.0
2023-09-25,13.922,14.321,13.922,14.276,5831800,0.0,0.0
2023-09-26,14.17,14.223,13.949,14.028,7164700,0.0,0.0
2023-09-27,14.046,14.329,14.046,14.205,6153700,0.0,0.0
2023-09-28,14.286,14.77,14.214,14.707,7791800,0.18,0.0
2023-09-29,14.868,14.895,14.331,14.394,9785200,0.0,0.0
2023-10-02,14.304,14.42,14.152,14.259,6158300,0.0,0.0
2023-10-03,14.188,14.188,13.767,13.856,8781400,0.0,0.0
2023-10-04,13.999,14.25,13.802,14.223,6103300,0.0,0.0
2023-10-05,14.196,14.456,14.17,14.402,5874500,0.0,0.0
2023-10-06,14.402,14.591,14.179,14.465,5318900,0.0,0.0
2023-10-09,14.349,14.447,14.125,14.349,4577000,0.0,0.0
2023-10-10,14.376,14.689,14.349,14.564,3110200,0.0,0.0
2023-10-11,14.653,14.707,14.313,14.483,5474600,0.0,0.0
2023-10-12,14.483,14.537,14.304,14.385,3852000,0.0,0.0
2023-10-13,14.394,14.411,14.152,14.196,5167200,0.0,0.0
2023-10-16,14.34,14.617,14.313,14.564,5454700,0.0,0.0
2023-10-17,14.492,14.752,14.456,14.617,4723800,0.0,0.0
2023-10-18,14.492,14.528,14.331,14.358,4651900,0.0,0.0
2023-10-19,14.313,14.42,14.089,14.107,8710900,0.0,0.0
2023-10-20,14.152,14.232,13.847,13.874,6780300,0.0,0.0
2023-10-23,13.874,14.205,13.749,14.008,6005900,0.0,0.0
2023-10-24,14.143,14.25,13.955,14.125,7366000,0.0,0.0
2023-10-25,14.035,14.143,13.946,13.973,7576500,0.0,0.0
2023-10-26,13.973,14.179,13.874,13.91,10821500,0.0,0.0
2023-10-27,13.955,13.964,13.363,13.48,9003600,0.0,0.0
2023-10-30,13.641,13.82,13.525,13.776,7312700,0.0,0.0
2023-10-31,13.793,13.883,13.596,13.865,7680400,0.0,0.0
2023-11-01,13.955,14.08,13.695,13.973,14877600,0.0,0.0
2023-11-02,14.241,14.761,14.196,14.6,11434700,0.0,0.0
2023-11-03,14.832,15.119,14.752,15.012,7116700,0.0,0.0
2023-11-06,15.012,15.146,14.886,14.931,9282000,0.0,0.0
2023-11-07,14.949,14.958,14.734,14.85,5741900,0.0,0.0
2023-11-08,14.859,14.913,14.429,14.447,7182000,0.0,0.0
2023-11-09,14.546,14.698,14.483,14.555,5856200,0.0,0.0
2023-11-10,14.573,14.725,14.367,14.698,5254900,0.0,0.0
2023-11-13,14.707,14.85,14.573,14.68,4431900,0.0,0.0
2023-11-14,15.101,15.298,15.047,15.209,6172900,0.0,0.0
2023-11-15,15.226,15.424,15.209,15.37,5158400,0.0,0.0
2023-11-16,15.334,15.468,15.173,15.289,6323600,0.0,0.0
2023-11-17,15.468,15.513,15.334,15.459,5095600,0.0,0.0
2023-11-20,15.459,15.692,15.406,15.683,4595100,0.0,0.0
2023-11-21,15.674,15.674,15.406,15.486,5091700,0.0,0.0
2023-11-22,15.612,15.683,15.495,15.576,2291300,0.0,0.0
2023-11-24,15.549,15.647,15.45,15.603,1743300,0.0,0.0
2023-11-27,15.54,15.665,15.424,15.612,4290800,0.0,0.0
2023-11-28,15.585,15.809,15.513,15.755,4449600,0.0,0.0
2023-11-29,15.809,15.925,15.594,15.621,4099200,0.0,0.0
2023-11-30,15.647,15.692,15.513,15.647,8295800,0.0,0.0
2023-12-01,15.656,15.943,15.576,15.871,4637400,0.0,0.0
2023-12-04,15.862,16.23,15.836,16.203,7742000,0.0,0.0
2023-12-05,16.14,16.14,15.692,15.836,5448200,0.0,0.0
