Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-06-01,141.59,141.76,137.86,139.61,438900,0.0,0.0
2022-06-02,140.55,141.75,139.05,140.16,345600,0.0,0.0
2022-06-03,138.35,140.16,137.47,139.15,331400,0.0,0.0
2022-06-06,139.81,142.15,138.54,141.66,432400,0.0,0.0
2022-06-07,140.25,142.26,137.95,141.4,355200,0.0,0.0
2022-06-08,139.09,141.18,138.02,139.54,306600,0.0,0.0
2022-06-09,138.42,142.54,137.98,140.93,423600,0.0,0.0
2022-06-10,138.31,139.86,131.82,131.9,505800,0.0,0.0
2022-06-13,127.62,130.48,122.68,123.74,465300,0.0,0.0
2022-06-14,123.88,125.5,121.62,123.61,494600,0.0,0.0
2022-06-15,125.56,127.11,123.04,125.42,519200,0.0,0.0
2022-06-16,120.79,121.72,114.96,116.67,916700,0.0,0.0
2022-06-17,117.44,120.37,115.22,119.93,1446300,0.0,0.0
2022-06-21,121.88,122.6,119.08,120.43,514600,0.0,0.0
2022-06-22,117.95,123.27,117.64,122.53,571100,0.0,0.0
2022-06-23,122.46,128.57,122.46,128.13,541500,0.0,0.0
2022-06-24,129.19,130.54,127.26,127.95,734600,0.0,0.0
2022-06-27,128.21,130.87,126.47,129.66,621100,0.0,0.0
2022-06-28,129.72,131.11,127.64,127.78,563800,0.0,0.0
2022-06-29,128.12,128.26,125.38,126.5,448400,0.0,0.0
2022-06-30,124.53,126.09,120.51,124.09,579800,0.0,0.0
2022-07-01,124.42,129.76,124.42,128.97,572800,0.0,0.0
2022-07-05,125.52,126.54,123.69,125.96,630600,0.0,0.0
2022-07-06,126.42,127.73,120.0,122.2,734400,0.0,0.0
2022-07-07,123.04,124.07,121.26,123.29,599000,0.0,0.0
2022-07-08,123.42,124.76,122.03,123.92,741600,0.0,0.0
2022-07-11,122.33,124.71,119.98,120.4,543900,0.0,0.0
2022-07-12,120.39,128.47,120.39,127.48,821600,0.0,0.0
2022-07-13,124.35,126.09,121.87,125.96,587800,0.0,0.0
2022-07-14,121.97,125.0,119.82,124.61,594100,0.0,0.0
2022-07-15,126.41,126.65,121.69,124.61,640300,0.0,0.0
2022-07-18,125.92,128.06,124.82,125.49,477300,0.0,0.0
2022-07-19,127.96,132.61,126.64,131.33,542700,0.0,0.0
2022-07-20,131.33,131.61,128.96,131.31,361300,0.0,0.0
2022-07-21,131.22,134.9,128.77,134.73,445200,0.0,0.0
2022-07-22,135.9,136.97,133.2,134.82,411300,0.0,0.0
2022-07-25,134.33,135.44,132.95,134.2,430000,0.0,0.0
2022-07-26,133.0,134.75,131.91,133.25,326400,0.0,0.0
2022-07-27,133.38,135.87,129.59,135.34,444500,0.0,0.0
2022-07-28,135.0,137.41,132.35,136.42,812400,0.0,0.0
2022-07-29,134.6,136.76,126.07,128.48,1190300,0.0,0.0
2022-08-01,125.39,127.02,121.1,125.76,739500,0.0,0.0
2022-08-02,123.69,124.48,119.84,120.03,770700,0.0,0.0
2022-08-03,120.94,121.88,119.6,120.16,559700,0.0,0.0
2022-08-04,119.72,121.35,118.53,118.81,513200,0.0,0.0
2022-08-05,117.38,120.01,116.82,119.97,484500,0.0,0.0
2022-08-08,121.99,124.16,121.71,123.31,396000,0.0,0.0
2022-08-09,123.0,123.02,119.54,120.0,447400,0.0,0.0
2022-08-10,122.99,126.68,122.99,124.3,426400,0.0,0.0
2022-08-11,125.74,128.14,125.22,126.11,393200,0.0,0.0
2022-08-12,126.0,127.97,125.65,127.0,483400,0.0,0.0
2022-08-15,126.02,127.71,124.86,125.48,349300,0.0,0.0
2022-08-16,124.01,127.39,122.19,126.56,346400,0.0,0.0
2022-08-17,123.87,124.45,122.1,122.78,416600,0.0,0.0
2022-08-18,122.72,122.81,121.05,122.13,404500,0.0,0.0
2022-08-19,120.69,121.06,117.1,118.24,732300,0.0,0.0
2022-08-22,117.0,117.0,112.67,112.93,633900,0.0,0.0
2022-08-23,113.31,114.07,111.71,112.97,608500,0.0,0.0
2022-08-24,112.9,114.17,111.36,113.11,375200,0.0,0.0
2022-08-25,113.19,116.09,112.4,115.76,531700,0.0,0.0
2022-08-26,116.42,117.48,109.52,109.55,651900,0.0,0.0
2022-08-29,108.5,111.32,108.0,109.5,536800,0.0,0.0
2022-08-30,110.69,111.58,107.81,110.64,547600,0.0,0.0
2022-08-31,111.21,111.85,109.55,110.36,636300,0.0,0.0
2022-09-01,109.53,110.0,106.75,108.06,491200,0.0,0.0
2022-09-02,110.61,111.23,107.89,108.85,664700,0.0,0.0
2022-09-06,109.3,109.94,106.1,106.15,590600,0.0,0.0
2022-09-07,106.38,110.97,106.38,110.71,569500,0.0,0.0
2022-09-08,109.12,111.17,107.5,110.99,582200,0.0,0.0
