Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-12,70.476,70.989,70.368,70.899,5485800,0.0,0.0
2021-04-13,70.251,70.323,69.116,69.98,5490700,0.0,0.0
2021-04-14,70.251,70.872,70.043,70.215,4855200,0.0,0.0
2021-04-15,70.395,70.503,69.332,70.224,5106500,0.0,0.0
2021-04-16,70.782,70.782,69.395,70.449,7629700,0.0,0.0
2021-04-19,70.359,70.908,70.016,70.782,6265600,0.0,0.0
2021-04-20,70.07,70.17,68.512,69.431,8692700,0.0,0.0
2021-04-21,69.179,71.097,68.81,71.034,5186900,0.0,0.0
2021-04-22,71.142,71.971,70.746,70.917,6706800,0.0,0.0
2021-04-23,70.98,72.736,70.98,72.538,7139200,0.0,0.0
2021-04-26,72.953,73.916,72.772,72.953,12145600,0.0,0.0
2021-04-27,74.538,75.375,72.844,74.583,11082400,0.0,0.0
2021-04-28,73.385,74.862,73.385,74.826,7164200,0.0,0.0
2021-04-29,75.258,75.474,74.313,74.637,6237000,0.0,0.0
2021-04-30,74.349,75.123,74.168,74.97,5616000,0.0,0.0
2021-05-03,75.474,76.06,75.006,75.781,5828800,0.0,0.0
2021-05-04,75.763,76.186,74.889,75.6,9306900,0.0,0.0
2021-05-05,75.321,76.258,75.24,75.772,4658200,0.0,0.0
2021-05-06,76.384,76.465,75.231,76.267,4903900,0.0,0.0
2021-05-07,76.384,77.393,75.781,77.195,6056000,0.0,0.0
2021-05-10,78.23,78.392,76.492,76.591,9042600,0.0,0.0
2021-05-11,75.871,76.735,75.069,75.952,6708100,0.0,0.0
2021-05-12,75.862,76.429,74.051,74.105,6086800,0.0,0.0
2021-05-13,74.123,75.907,73.979,75.456,4701200,0.0,0.0
2021-05-14,76.06,77.519,75.979,77.348,4989200,0.0,0.0
2021-05-17,76.609,77.969,76.609,77.969,5059800,0.0,0.0
2021-05-18,77.636,78.32,76.87,76.897,7438300,0.0,0.0
2021-05-19,76.411,76.798,75.276,76.744,9296500,0.0,0.0
2021-05-20,76.78,77.523,76.192,77.224,10059900,0.51,0.0
2021-05-21,77.786,78.919,77.514,77.75,5803800,0.0,0.0
2021-05-24,78.366,78.783,77.922,78.357,5113300,0.0,0.0
2021-05-25,78.493,79.082,77.913,78.158,7606300,0.0,0.0
2021-05-26,78.221,78.584,77.922,78.375,4826200,0.0,0.0
2021-05-27,80.187,80.468,79.472,80.287,10492200,0.0,0.0
2021-05-28,80.097,80.486,79.771,80.378,4850300,0.0,0.0
2021-06-01,81.374,81.483,80.495,80.631,4302200,0.0,0.0
2021-06-02,80.867,80.867,80.142,80.305,4429100,0.0,0.0
2021-06-03,79.834,80.613,79.635,80.35,4083200,0.0,0.0
2021-06-04,80.323,80.858,80.233,80.658,4082800,0.0,0.0
2021-06-07,80.613,80.776,80.169,80.613,5693900,0.0,0.0
2021-06-08,80.822,81.347,80.423,81.048,4777000,0.0,0.0
2021-06-09,80.967,81.157,80.477,80.504,4594500,0.0,0.0
2021-06-10,81.365,81.528,79.879,79.961,4826300,0.0,0.0
2021-06-11,80.369,80.613,79.888,80.468,4082700,0.0,0.0
2021-06-14,80.387,80.813,79.961,80.387,5924900,0.0,0.0
2021-06-15,80.595,81.365,80.459,81.003,5336700,0.0,0.0
2021-06-16,80.849,81.03,79.689,80.124,8033800,0.0,0.0
2021-06-17,80.169,80.396,78.212,78.946,7480500,0.0,0.0
2021-06-18,77.832,78.584,77.578,77.85,10387200,0.0,0.0
